frame_idx,obj_id,tip_x,tip_y,base_x,base_y
67,2,672.0,548.0,87.0,60.0
68,1,898.0,574.0,1599.0,898.0
68,2,673.0,547.0,88.0,62.0
69,1,900.0,570.0,1599.0,896.0
69,2,672.0,549.0,86.0,62.0
70,1,903.0,565.0,1599.0,894.0
70,2,673.0,548.0,85.0,60.0
71,1,907.0,559.0,1599.0,887.0
71,2,674.0,548.0,88.0,62.0
72,1,914.0,548.0,1599.0,876.0
72,2,675.0,550.0,87.0,62.0
73,1,924.0,533.0,1599.0,862.0
73,2,676.0,552.0,84.0,63.0
74,1,937.0,510.0,1599.0,841.0
74,2,678.0,556.0,84.0,60.0
75,1,953.0,486.0,1599.0,818.0
75,2,680.0,563.0,84.0,67.0
76,1,971.0,461.0,1599.0,795.0
76,2,683.0,571.0,83.0,67.0
77,1,990.0,436.0,1599.0,770.0
77,2,686.0,582.0,83.0,70.0
78,1,1012.0,405.0,1599.0,736.0
78,2,691.0,592.0,78.0,71.0
79,1,1036.0,375.0,1599.0,709.0
79,2,695.0,602.0,80.0,79.0
80,1,1056.0,352.0,1599.0,682.0
80,2,697.0,614.0,82.0,86.0
81,1,1075.0,330.0,1599.0,655.0
81,2,700.0,625.0,77.0,86.0
82,1,1094.0,305.0,1599.0,630.0
82,2,702.0,638.0,77.0,86.0
83,1,1110.0,284.0,1599.0,603.0
83,2,706.0,648.0,75.0,92.0
84,1,1122.0,269.0,1599.0,590.0
84,2,709.0,656.0,76.0,97.0
85,1,1131.0,257.0,1599.0,577.0
85,2,713.0,662.0,73.0,100.0
86,1,1136.0,251.0,1599.0,566.0
86,2,715.0,667.0,73.0,102.0
87,1,1140.0,245.0,1599.0,560.0
87,2,715.0,674.0,70.0,103.0
88,1,1144.0,239.0,1599.0,556.0
88,2,716.0,681.0,69.0,106.0
89,1,1144.0,239.0,1599.0,555.0
89,2,716.0,690.0,65.0,110.0
90,1,1145.0,236.0,1599.0,555.0
90,2,718.0,697.0,65.0,110.0
91,1,1144.0,236.0,1599.0,556.0
91,2,719.0,705.0,61.0,118.0
92,1,1142.0,237.0,1599.0,556.0
92,2,720.0,714.0,59.0,121.0
93,1,1141.0,237.0,1599.0,558.0
93,2,721.0,725.0,57.0,126.0
94,1,1141.0,236.0,1599.0,556.0
94,2,721.0,738.0,52.0,124.0
95,1,1141.0,236.0,1599.0,557.0
95,2,722.0,751.0,51.0,127.0
96,1,1144.0,232.0,1599.0,554.0
96,2,721.0,766.0,50.0,139.0
97,1,1147.0,229.0,1599.0,550.0
97,2,721.0,779.0,47.0,143.0
98,1,1149.0,227.0,1599.0,545.0
98,2,721.0,791.0,48.0,153.0
99,1,1153.0,223.0,1599.0,542.0
99,2,721.0,800.0,40.0,158.0
100,1,1155.0,222.0,1599.0,539.0
100,2,721.0,808.0,40.0,161.0
101,1,1156.0,222.0,1599.0,536.0
101,2,719.0,817.0,34.0,166.0
102,1,1158.0,220.0,1599.0,535.0
102,2,718.0,822.0,36.0,166.0
103,1,1159.0,219.0,1599.0,534.0
103,2,719.0,821.0,34.0,166.0
104,1,1157.0,221.0,1599.0,535.0
104,2,718.0,820.0,33.0,162.0
105,1,1156.0,222.0,1599.0,538.0
105,2,717.0,818.0,28.0,162.0
106,1,1153.0,224.0,1599.0,541.0
106,2,714.0,817.0,31.0,161.0
107,1,1150.0,226.0,1599.0,545.0
107,2,712.0,815.0,29.0,162.0
108,1,1147.0,228.0,1599.0,549.0
108,2,709.0,813.0,29.0,165.0
109,1,1145.0,229.0,1599.0,553.0
109,2,708.0,808.0,30.0,165.0
110,1,1141.0,233.0,1599.0,557.0
110,2,706.0,805.0,29.0,166.0
111,1,1137.0,237.0,1599.0,564.0
111,2,703.0,804.0,28.0,163.0
112,1,1132.0,244.0,1599.0,572.0
112,2,704.0,799.0,30.0,166.0
113,1,1127.0,252.0,1599.0,583.0
113,2,702.0,799.0,28.0,165.0
114,1,1124.0,260.0,1599.0,590.0
114,2,702.0,795.0,26.0,162.0
115,1,1120.0,267.0,1599.0,598.0
115,2,703.0,791.0,28.0,162.0
116,1,1115.0,276.0,1599.0,605.0
116,2,703.0,789.0,26.0,161.0
117,1,1110.0,284.0,1599.0,615.0
117,2,703.0,785.0,29.0,160.0
118,1,1104.0,293.0,1599.0,626.0
118,2,704.0,780.0,32.0,161.0
119,1,1097.0,302.0,1599.0,638.0
119,2,705.0,775.0,28.0,156.0
120,1,1086.0,316.0,1599.0,652.0
120,2,708.0,766.0,32.0,156.0
121,1,1077.0,326.0,1599.0,668.0
121,2,709.0,761.0,33.0,151.0
122,1,1069.0,336.0,1599.0,683.0
122,2,712.0,752.0,36.0,148.0
123,1,1058.0,349.0,1599.0,698.0
123,2,716.0,743.0,34.0,141.0
124,1,1045.0,363.0,1599.0,716.0
124,2,721.0,732.0,39.0,135.0
125,1,1027.0,382.0,1599.0,739.0
